Rank,Title,Artist,Lyrics,Genre
1,A Bar Song (Tipsy),Shaboozey,"['Country Pop', 'Stomp And Holler', 'In English', 'USA', 'Country']","45 ContributorsTranslationsEspañolDeutschFrançaisУкраїнськаNorsk (bokmål / riksmål)A Bar Song (Tipsy) Lyrics[Verse 1]
My baby want a Birkin, she's been tellin' me all night long
Gasoline and groceries, the list goes on and on
This nine-to-five ain't workin', why the hell do I work so hard?
I can't worry 'bout my problems, I can't take 'em when I'm gone, uh

[Pre-Chorus]
One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

[Chorus]
Someone pour me up a double shot of whiskey
They know me and Jack Daniеl's got a history
There's a party downtown near 5th Street
Evеrybody at the bar gettin' tipsy

[Post-Chorus]
Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

[Verse 2]
I've been Boozey since I left
I ain't changin' for a check
Tell my ma I ain't forget (Oh Lord), I
Woke up drunk at 10 a.m.​
We gon' do this shit again
Tell your girl to bring a friend, oh Lord
You might also like[Pre-Chorus]
One, here comes the two to the three to the four
Tell 'em ""Bring another round,"" we need plenty more
Two-steppin' on the table, she don't need a dance floor
Oh my, good Lord

[Chorus]
Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (We go way back)
There's a party downtown near 5th Street
Everybody at the bar gettin' tipsy

[Post-Chorus]
Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)
Everybody at the bar gettin' tipsy

[Bridge]
One, here comes the two to the three to the four
When it's last call and they kick us out the door
It's gettin' kind of late, but the ladies want some more
Oh my, good Lord (Tell 'em drinks on me)

[Chorus]
Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (Way back)
There's a party downtown near 5th Street (Come on)
Everybody at the bar gettin' tipsy (Woo-ooh)
Someone pour me up a double shot of whiskey (Double shot of whiskey)
They know me and Jack Daniel's got a history (It's Jack D)
At the bottom of a bottle, don't miss me (Baby, don't miss me)
Everybody at the bar gettin' tipsy (At the bar gettin' tipsy)
[Post-Chorus]
Everybody at the bar gettin' tipsy
Everybody at the bar gettin' tipsy

[Outro]
That's fuckin' messed up, bro, they kicked me out the bar6Embed"
2,Birds Of A Feather,Billie Eilish,"['Alternative Pop', 'Alternative', 'USA', 'In English', 'Pop']","153 ContributorsTranslationsPortuguêsالعربيةHebrewEspañolTürkçeΕλληνικάDeutschItalianoPolskiBahasa IndonesiaFrançaisРусскийTiếng ViệtNorsk (bokmål / riksmål)ShqipCatalàไทย / Phasa ThaiBIRDS OF A FEATHER Lyrics[Intro]

[Verse 1]
I want you to stay
'Til I'm in the grave
'Til I rot away, dead and buried
'Til I'm in the casket you carry
If you go, I'm goin' too, uh
'Cause it was always you (Alright)
And if I'm turnin' blue, please don't save me
Nothin' left to lose without my baby

[Refrain]
Birds of a feather, we should stick together, I know
I said I'd never think I wasn't better alone
Can't change the weather, might not be forever
But if it's forever, it's even better

[Pre-Chorus]
And I don't know what I'm cryin' for
I don't think I could love you more
It might not be long, but baby, I

[Chorus]
I'll love you 'til the day that I die
'Til the day that I die
'Til the light leaves my eyes
'Til the day that I die
See Billie Eilish LiveGet tickets as low as $135You might also like[Verse 2]
I want you to see, hm
How you look to me, hm
You wouldn't believe if I told ya
You would keep the compliments I throw ya
But you're so full of shit, uh
Tell me it's a bit, oh
Say you don't see it, your mind's polluted
Say you wanna quit, don't be stupid

[Pre-Chorus]
And I don't know what I'm cryin' for
I don't think I could love you more
Might not be long, but baby, I
Don't wanna say goodbye

[Chorus]
Birds of a feather, we should stick together, I know ('Til the day that I die)
I said I'd never think I wasn't better alone ('Til the light leaves my eyes)
Can't change the weather, might not be forever ('Til the day that I die)
But if it's forever, it's even better

[Post-Chorus]
I knew you in another life
You had that same look in your eyes
I love you, don't act so surprised22Embed"
3,I Had Some Help,Post Malone Featuring Morgan Wallen,"['Duet', 'Pop-Rock', 'Country Rock', 'Country Pop', 'USA', 'In English', 'Country']","59 ContributorsTranslationsPortuguêsDeutschNorsk (bokmål / riksmål)EspañolPolskiI Had Some Help Lyrics[Verse 1: Post Malone]
You got a lotta nerve, don't you, baby?
I only hit the curb 'cause you made me
You're tellin' all your friends that I'm crazy
Like I'm the only one
Why'd you throw them stones if you
Had a wild hair of your own or two?
Livin' in your big glass house with a view
I thought you knew

[Chorus: Post Malone]
I had some help
It ain't like I can make this kinda mess all by myself
Don't act like you ain't help me pull that bottle off the shelf
Been deep in every weekend if you couldn't tell
They say, ""Teamwork makes the dream work""
Hell, I had some help (Help)

[Post-Chorus: Post Malone]
(Help)

[Verse 2: Morgan Wallen]
You thought I'd take the blame for us a-crumbling
Go 'round like you ain't guilty of somethin'
Already lost the game that you been runnin'
Guess it's catchin' up to you, huh
You think that you're so innocent
After all the shit you did
I ain't an angel, you ain't heaven-sent
Can't wash our hands of this
See Post Malone LiveGet tickets as low as $50You might also like[Chorus: Morgan Wallen]
I had some help
It ain't like I can make this kinda mess all by myself
Don't act like you ain't help me pull that bottle off the shelf
Been deep in every weekend if you couldn't tell
They say, ""Teamwork makes the dream work""
Hell, I had some help (Help)
[Post-Chorus: Post Malone]
(Help)
(Help)
(Help)

[Bridge: Morgan Wallen, Post Malone & Both]
It takes two to break a heart in two, ooh
Baby, you blame me and, baby, I blame you
Aw, if that ain't the truth (Oh)

[Chorus: Post Malone & Morgan Wallen]
I had some help
It ain't like I can make this kinda mess all by myself
Don't act like you ain't help me pull that bottle off the shelf
Been deep in every weekend if you couldn't tell
They say, ""Teamwork makes the dream work""
Hell, I had some help (Help)
[Post-Chorus: Post Malone]
(Help)
(Help)
(Help)7Embed"
4,Espresso,Sabrina Carpenter,"['Teen Pop', 'Funk-Pop', 'Dance', 'Bubblegum Pop', 'Singer-Songwriter', 'Nu Disco', 'Dance-Pop', 'In English', 'USA', 'Pop']","107 ContributorsTranslationsСрпскиNorsk (bokmål / riksmål)TürkçePolskiالعربيةFrançaisItalianoDeutschPortuguêsEspañolBahasa Indonesiaไทย / Phasa ThaiTiếng ViệtSlovenčinaБеларускаяРусскийУкраїнськаΕλληνικάCatalà日本語МакедонскиEspresso Lyrics[Chorus]
Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso

[Verse 1]
I can't relate to desperation
My give-a-fucks are on vacation
And I got this one boy and he won't stop calling
When they act this way, I know I got 'em

[Pre-Chorus]
(Mm) Too bad your ex don't do it for ya
(Mm) Walked in and dream-came-trued it for ya
(Mm) Soft skin and I perfumed it for ya
(Yes) I know I Mountain Dew it for ya
(Yes) That morning coffee, brewed it for ya
(Yes) One touch and I brand-newed it for ya (Ooh)

[Chorus]
And now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso
See Sabrina Carpenter LiveGet tickets as low as $105You might also like[Post-Chorus]
Holy shit
Is it that sweet? I guess so (Mm)

[Verse 2]
I'm working late 'cause I'm a singer
Oh, he looks so cute wrapped 'round my finger
My twisted humor make him laugh so often
My honeybee, come and get this pollen

[Pre-Chorus]
(Mm) Too bad your ex don't do it for ya
(Mm) Walked in and dream-came-trued it for ya
(Mm) Soft skin and I perfumed it for ya (Ayy, ayy, oh)
(Yes) I know I Mountain Dew it for ya
(Yes) That morning coffee, brewed it for ya
(Yes) One touch and I brand-newed it for ya (Stupid)

[Chorus]
Now he's thinkin' 'bout me every night, oh
Is it that sweet? I guess so
Say you can't sleep, baby, I know
That's that me espresso
Move it up, down, left, right, oh
Switch it up like Nintendo
Say you can't sleep, baby, I know
That's that me espresso (Yes)
Thinkin' 'bout me every night, oh
Is it that sweet? I guess so (Yes)
Say you can't sleep, baby, I know
That's that me espresso (Yes)
Move it up, down, left, right, oh (Move it up, down, left, right, oh)
Switch it up like Nintendo (Yes)
Say you can't sleep, baby, I know
That's that me espresso
[Outro]
Is it that sweet? I guess so
Mm, that's that me espresso28Embed"
5,Die With A Smile,Lady Gaga & Bruno Mars,"['Pop-R&B', 'Soul', 'Soft Rock', 'Alternative R&B', 'R&B', 'Soul Pop', 'Pop-Rock', 'Rock', 'Ballad', 'Duet', 'In English', 'USA', 'Pop']","122 ContributorsTranslationsTürkçeEspañolPortuguêsDeutschFrançaisItalianoالعربيةΕλληνικάTiếng ViệtBahasa IndonesiaفارسیNederlandsDie With A Smile Lyrics[Intro: Bruno Mars]
(Ooh, ooh)

[Verse 1: Bruno Mars]
I, I just woke up from a dream
Where you and I had to say goodbye
And I don't know what it all means
But since I survived, I realized

[Pre-Chorus: Bruno Mars]
Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

[Chorus: Bruno Mars]
If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

[Post-Chorus: Bruno Mars]
(Ooh, ooh)
You might also like[Verse 2: Lady Gaga, Lady Gaga & Bruno Mars]
Ooh, lost, lost in the words that we scream
I don't even wanna do this anymore
'Cause you already know what you mean to me
And our love's the only war worth fighting for

[Pre-Chorus: Lady Gaga & Bruno Mars]
Wherever you go, that's where I'll follow
Nobody's promised tomorrow
So I'ma love you every night like it's the last night
Like it's the last night

[Chorus: Lady Gaga & Bruno Mars, Lady Gaga]
If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you

[Bridge: Bruno Mars, Lady Gaga & Both]
Right next to you
Next to you
Right next to you
Oh-oh
[Chorus: Lady Gaga, Lady Gaga & Bruno Mars, Bruno Mars]
If the world was ending
I'd wanna be next to you
If the party was over
And our time on Earth was through
I'd wanna hold you just for a while
And die with a smile
If the world was ending
I'd wanna be next to you
If the world was ending
I'd wanna be next to you

[Outro: Bruno Mars, Lady Gaga & Bruno Mars]
(Ooh, ooh)
I'd wanna be next to you19Embed"
6,"Good Luck, Babe!",Chappell Roan,"['Synthwave', 'New Wave (Rock)', 'Baroque Pop', 'Dance-Pop', 'Art Pop', 'Alternative Pop', 'Singer-Songwriter', 'LGBTQ+', 'Synth-Pop', 'In English', 'USA', 'Pop']","100 ContributorsTranslationsBahasa IndonesiaPortuguêsDeutschEspañolFrançaisTürkçeHebrewItalianoDanskCatalàTiếng ViệtPolskiGood Luck, Babe! Lyrics[Verse 1]
It's fine, it's cool
You can say that we are nothing, but you know the truth
And guess I'm the fool
With her arms out like an angel through the car sunroof

[Pre-Chorus]
I don't wanna call it off
But you don't wanna call it love
You only wanna be the one that I call ""baby""

[Chorus]
You can kiss a hundred boys in bars
Shoot another shot, try to stop the feeling
You can say it's just the way you are
Make a new excuse, another stupid reason
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling

[Verse 2]
I'm cliché, who cares?
It's a sexually explicit kind of love affair
And I cry, it's not fair
I just need a little lovin', I just need a little air
You might also like[Pre-Chorus]
Think I'm gonna call it off
Even if you call it love
I just wanna love someone who calls me ""baby""

[Chorus]
You can kiss a hundred boys in bars
Shoot another shot, try to stop the feeling
You can say it's just the way you are
Make a new excuse, another stupid reason
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling

[Bridge]
When you wake up next to him in the middle of the night
With your head in your hands, you're nothing more than his wife
And when you think about me all of those years ago
You're standing face to face with ""I told you so""
You know I hate to say it, I told you so
You know I hate to say, but I told you so

[Chorus]
You can kiss a hundred boys in bars
Shoot another shot, try to stop the feeling (Well, I told you so)
You can say it's just the way you are
Make a new excuse, another stupid reason
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
Good luck, babe (Well, good luck)
Well, good luck, babe (Well, good luck)
You'd have to stop the world just to stop the feeling
[Outro]
You'd have to stop the world just to stop the feeling
You'd have to stop the world just to stop the feeling
You'd have to stop the world just to stop the feeling12Embed"
7,Taste,Sabrina Carpenter,"['Bubblegum Dance', 'Rock', 'Dance Rock', 'Pop-Rock', 'Bubblegum Pop', 'Dance-Pop', 'Dance', 'Singer-Songwriter', 'In English', 'USA', 'Pop']","84 ContributorsTranslationsTürkçeTiếng ViệtPolskiFrançaisEspañolСрпскиPortuguêsDeutschCatalàРусскийItalianoไทย / Phasa ThaiМакедонски中文УкраїнськаБеларускаяΕλληνικάTaste Lyrics[Verse 1]
Oh, I leave quite an impression
Five feet to be exact
You're wonderin' why half his clothes went missin'
My body's where they're at

[Pre-Chorus]
Now I'm gone, but you're still layin'
Next to me, one degree of separation

[Chorus]
I heard you're back together and if that's true
You'll just have to taste me when he's kissin' you
If you want forever, and I bet you do
Just know you'll taste me too

[Post-Chorus]
Uh-huh

[Verse 2]
He pins you down on the carpet
Makes paintings with his tongue (La-la-la-la-la-la-la)
Hе's funny now, all his jokes hit different
Guеss who he learned that from?

[Pre-Chorus]
Now I'm gone, but you're still layin'
Next to me, one degree of separation
See Sabrina Carpenter LiveGet tickets as low as $105You might also like[Chorus]
I heard you're back together and if that's true
You'll just have to taste me when he's kissin' you
If you want forever, and I bet you do (I bet you do)
Just know you'll taste me too

[Post-Chorus]
La-la-la-la-la-la-la

[Bridge]
Every time you close your eyes
And feel his lips, you're feelin' mine
And every time you breathe his air
Just know I was already there
You can have him if you like
I've been there, done that once or twice
And singin' 'bout it don't mean I care
Yeah, I know I've been known to share

[Chorus]
Well, I heard you're back together and if that's true
You'll just have to taste me when he's kissin' you
If you want forever, and I bet you do (I bet you do)
Just know you'll taste me too

[Outro]
Taste me too, ow (La-la-la-la-la-la-la)
You'll just have to taste me when he's kissin' you
You, no, yeah, ah-ah (La-la-la-la-la-la-la)
You'll just have to taste me when he's kissin' you12Embed"
8,Lose Control,Teddy Swims,"['USA', 'Adult Alternative', 'Alternative R&B', 'Alternative Pop', 'Soul Pop', 'R&B', 'In English', 'Soul', 'Adult Contemporary', 'Pop']","31 ContributorsTranslationsEspañolDeutschУкраїнськаNorsk (bokmål / riksmål)FrançaisLose Control Lyrics[Verse 1]
Something's got a hold of me lately
No, I don’t know myself anymore
Feels like the walls are all closin' in
And the devil's knockin’ at my door, woah
Out of my mind, how many times did I tell you
I'm no good at bein' alone?
Yeah, it's taken a toll on me, tryin' my best to keep
From tearin' the skin off my bones, don't you know

[Chorus]
I lose control
When you're not next to me
I’m fallin’ apart right in front of you, can't you see?
I lose control
When you’re not next to me, mhm
Yeah, you're breakin' my heart, baby
You make a mess of me

[Verse 2]
Problematic
The problem is I want your body like a fiend, like a bad habit
Bad habits hard to break when I'm with you
Yeah, I know I can do it on my own
But I want that real full-moon black magic and it takes two
Problematic
The problem is when I’m with you I'm an addict
And I need some relief, my skin in your teeth
Can't see the forest through the trees
Got me down on my knees, darlin', please, oh
See Teddy Swims LiveGet tickets as low as $50You might also like[Chorus]
I lose control
When you're not next to me
I'm fallin' apart right in front of you, can't you see?
I lose control
When you're not next to me (Mm-hmm)
Yeah, you're breakin' my heart, baby
You make a mess of me, yeah

[Instrumental Break]

[Chorus]
I lose control
When you're not here with me, mm
I'm fallin' apart right in front of you, can't you see?
I lose control
When you're not here with me, mhm
Yeah, you're breakin' my heart, baby
You make a mess of meEmbed"
9,Please Please Please,Sabrina Carpenter,"['Bubblegum Pop', 'Pop-Rock', 'Soft Rock', 'Synth-Pop', 'Country', 'Singer-Songwriter', 'Boogie', 'Country Pop', 'In English', 'USA', 'Pop']","118 ContributorsTranslationsEspañolСрпскиPortuguêsDeutschTürkçeItalianoPolskiTiếng ViệtBahasa IndonesiaРусскийNorsk (bokmål / riksmål)ไทย / Phasa ThaiFrançaisCatalàМакедонскиDansk中文БеларускаяУкраїнськаΕλληνικάPlease Please Please Lyrics[Verse 1]
I know I have good judgment, I know I have good taste
It's funny and it's ironic that only I feel that way
I promise 'em that you're different and everyone makes mistakes
But just don't
I heard that you're an actor, so act like a stand-up guy
Whatever devil's inside you, don't let him out tonight
I tell them it's just your culture and everyone rolls their eyes
Yeah, I know
All I'm asking, baby

[Chorus]
Please, please, please
Don't prove I'm right
And please, pleasе, please
Don't bring me to tеars when I just did my makeup so nice
Heartbreak is one thing, my ego's another
I beg you, don't embarrass me, motherfucker, oh
Please, please, please (Ah)

[Verse 2]
Well, I have a fun idea, babe (Uh-huh), maybe just stay inside
I know you're cravin' some fresh air, but the ceiling fan is so nice (It's so nice, right?)
And we could live so happily if no one knows that you're with me
I'm just kidding, but really (Kinda), really, really
See Sabrina Carpenter LiveGet tickets as low as $105You might also like[Chorus]
Please, please, please (Please don't prove I'm right)
Don't prove I'm right
And please, please, please
Don't bring me to tears when I just did my makeup so nice
Heartbreak is one thing (Heartbreak is one thing), my ego's another (Ego's another)
I beg you, don't embarrass me, motherfucker, oh
Please, please, please (Ah)

[Outro]
If you wanna go and be stupid
Don't do it in front of me
If you don't wanna cry to my music
Don't make me hate you prolifically
Please, please, please (Please)
Please, please, please (Please)
Please (Please), please (Please), please
(Ah)13Embed"
10,Beautiful Things,Benson Boone,"['Alternative', 'Rock', 'Alternative Rock', 'In English', 'Pop-Rock', 'Pop']","55 ContributorsTranslationsDeutschPortuguêsEspañolУкраїнськаNorsk (bokmål / riksmål)FrançaisBeautiful Things Lyrics[Verse 1]
For a while there, it was rough
But lately, I've been doin' better
Than the last four cold Decembers I recall
And I see my family every month
I found a girl my parents love
She'll come and stay the night, and I think I might have it all
And I thank God every day
For the girl He sent my way
But I know the things He gives me, He can take away
And I hold you every night
And that's a feeling I wanna get used to
But there's no man as terrified as the man who stands to lose you

[Pre-Chorus]
Oh, I hope I don't losе you
Mm, please stay
I want you, I need you, oh God
Don't take
Thеse beautiful things that I've got

[Chorus]
Please stay
I want you, I need you, oh, God
Don't take
These beautiful things that I've got
See Benson Boone LiveGet tickets as low as $20You might also like[Post-Chorus]
Oh, ooh
Please don't take

[Verse 2]
I found my mind, I'm feelin' sane
It's been a while, but I'm finding my faith
If everything's good and it's great, why do I sit and wait 'til it's gone?
Oh, I'll tell ya, I know I've got enough
I've got peace and I've got love
But I'm up at night thinkin' I just might lose it all

[Chorus]
Please stay
I want you, I need you, oh God
Don't take
These beautiful things that I've got

[Post-Chorus]
Oh, ooh

[Outro]
Please stay
I want you, I need you, oh God
I need
These beautiful things that I've got9Embed"
