Rank,Title,Artist,Genre,Lyrics
1,A Bar Song (Tipsy),Shaboozey,"['Country Pop', 'Stomp And Holler', 'In English', 'USA', 'Country']",babi birkin tellin night gasolin groceri list ninetof workin hard worri bout em uh prechoru em bring plenti twosteppin tabl danc floor lord pour doubl shot whiskey jack daniеl histori parti downtown street evеrybodi bar gettin tipsi postchoru bar gettin tipsi bar gettin tipsi boozey left changin check forget lord woke drunk gon shit girl bring friend lord likeprechoru em bring plenti twosteppin tabl danc floor lord pour doubl shot whiskey doubl shot whiskey jack daniel histori parti downtown street bar gettin tipsi postchoru bar gettin tipsi bar gettin tipsi bar gettin tipsi bridg kick door gettin late ladi lord em drink pour doubl shot whiskey doubl shot whiskey jack daniel histori parti downtown street bar gettin tipsi wooooh pour doubl shot whiskey doubl shot whiskey jack daniel histori jack bottl babi bar gettin tipsi bar gettin tipsi postchoru bar gettin tipsi bar gettin tipsi outro fuckin mess bro kick baremb
2,Birds Of A Feather,Billie Eilish,"['Alternative Pop', 'Alternative', 'USA', 'In English', 'Pop']",stay grave rot dead buri casket carri goin uh alright turnin blue save nothin left lose babi refrain bird feather stick chang weather prechoru cryin love babi love day die day die light leav eye day die billi eilish liveget ticket likevers told ya compliment throw ya shit uh bit mind pollut wanna quit stupid prechoru cryin love babi wanna goodby bird feather stick day die light leav eye chang weather day die postchoru life eye love surprisedemb
3,I Had Some Help,Post Malone Featuring Morgan Wallen,"['Duet', 'Pop-Rock', 'Country Rock', 'Country Pop', 'USA', 'In English', 'Country']",post malon lotta nerv babi hit curb tellin friend crazi whyd throw stone wild hair livin glass hous view post malon kinda mess pull bottl shelf deep weekend teamwork dream postchoru post malon morgan wallen blame acrumbl guilti somethin lost game runnin guess catchin huh innoc shit angel heavens wash hand post malon liveget ticket likechoru morgan wallen kinda mess pull bottl shelf deep weekend teamwork dream postchoru post malon bridg morgan wallen post malon take break heart ooh babi blame babi blame truth post malon morgan wallen kinda mess pull bottl shelf deep weekend teamwork dream postchoru post malon helpemb
4,Espresso,Sabrina Carpenter,"['Teen Pop', 'Funk-Pop', 'Dance', 'Bubblegum Pop', 'Singer-Songwriter', 'Nu Disco', 'Dance-Pop', 'In English', 'USA', 'Pop']",thinkin bout night sweet guess sleep babi espresso left switch nintendo sleep babi espresso relat desper giveafuck vacat boy call em prechoru bad ya walk dreamcametru ya soft skin perfum ya mountain dew ya morn coffe brew ya touch brandnew ya ooh thinkin bout night sweet guess sleep babi espresso left switch nintendo sleep babi espresso sabrina carpent liveget ticket likepostchoru holi shit sweet guess late singer cute wrap finger twist humor laugh honeybe pollen prechoru bad ya walk dreamcametru ya soft skin perfum ya ayi ayi mountain dew ya morn coffe brew ya touch brandnew ya stupid thinkin bout night sweet guess sleep babi espresso left switch nintendo sleep babi espresso thinkin bout night sweet guess sleep babi espresso left left switch nintendo sleep babi espresso outro sweet guess espressoemb
5,Die With A Smile,Lady Gaga & Bruno Mars,"['Pop-R&B', 'Soul', 'Soft Rock', 'Alternative R&B', 'R&B', 'Soul Pop', 'Pop-Rock', 'Rock', 'Ballad', 'Duet', 'In English', 'USA', 'Pop']",bruno mar ooh ooh bruno mar woke dream goodby surviv realiz prechoru bruno mar follow nobodi promis tomorrow ima love night night night bruno mar wanna parti time earth wanna hold die smile wanna postchoru bruno mar ooh ooh likevers ladi gaga ladi gaga bruno mar ooh lost lost scream wanna love war worth fight prechoru ladi gaga bruno mar follow nobodi promis tomorrow ima love night night night ladi gaga bruno mar ladi gaga wanna parti time earth wanna hold die smile wanna bridg bruno mar ladi gaga ohoh ladi gaga ladi gaga bruno mar bruno mar wanna parti time earth wanna hold die smile wanna wanna outro bruno mar ladi gaga bruno mar ooh ooh wanna youemb
6,"Good Luck, Babe!",Chappell Roan,"['Synthwave', 'New Wave (Rock)', 'Baroque Pop', 'Dance-Pop', 'Art Pop', 'Alternative Pop', 'Singer-Songwriter', 'LGBTQ+', 'Synth-Pop', 'In English', 'USA', 'Pop']",fine cool truth guess fool arm angel car sunroof prechoru wanna wanna love wanna babi kiss boy bar shoot shot feel excus stupid reason luck babe luck luck babe luck feel luck babe luck luck babe luck feel cliché care sexual explicit love affair fair lovin air likeprechoru gonna love wanna love call babi kiss boy bar shoot shot feel excus stupid reason luck babe luck luck babe luck feel luck babe luck luck babe luck feel bridg wake middl night head hand wife stand told hate told hate told kiss boy bar shoot shot feel told excus stupid reason luck babe luck luck babe luck feel luck babe luck luck babe luck feel outro feel feel feelingemb
7,Taste,Sabrina Carpenter,"['Bubblegum Dance', 'Rock', 'Dance Rock', 'Pop-Rock', 'Bubblegum Pop', 'Dance-Pop', 'Dance', 'Singer-Songwriter', 'In English', 'USA', 'Pop']",leav impress feet exact wonderin cloth missin bodi prechoru layin degre separ heard true tast kissin bet tast postchoru uhhuh pin carpet paint tongu lalalalalalala hе funni joke hit guеss learn prechoru layin degre separ sabrina carpent liveget ticket likechoru heard true tast kissin bet bet tast postchoru lalalalalalala bridg time close eye feel lip feelin time breath air singin bout care yeah share heard true tast kissin bet bet tast outro tast ow lalalalalalala tast kissin yeah ahah lalalalalalala tast kissin youemb
8,Lose Control,Teddy Swims,"['USA', 'Adult Alternative', 'Alternative R&B', 'Alternative Pop', 'Soul Pop', 'R&B', 'In English', 'Soul', 'Adult Contemporary', 'Pop']",someth hold feel wall closin devil knockin door woah mind time bein yeah toll tryin tearin skin bone lose control fallin lose control mhm yeah breakin heart babi mess problemat bodi fiend bad habit bad habit hard break yeah real fullmoon black magic take problemat addict relief skin teeth forest tree knee darlin teddi swim liveget ticket likechoru lose control fallin lose control mmhmm yeah breakin heart babi mess yeah instrument break lose control fallin lose control mhm yeah breakin heart babi mess meemb
9,Please Please Please,Sabrina Carpenter,"['Bubblegum Pop', 'Pop-Rock', 'Soft Rock', 'Synth-Pop', 'Country', 'Singer-Songwriter', 'Boogie', 'Country Pop', 'In English', 'USA', 'Pop']",judgment tast funni iron feel promis em mistak heard actor standup guy devil tonight cultur roll eye yeah babi prove pleasе bring tеar makeup nice heartbreak ego beg embarrass motherfuck fun idea babe uhhuh stay cravin fresh air ceil fan nice nice live happili kid kinda sabrina carpent liveget ticket likechoru prove prove bring tear makeup nice heartbreak heartbreak ego ego beg embarrass motherfuck outro wanna stupid wanna music hate prolif ahemb
10,Beautiful Things,Benson Boone,"['Alternative', 'Rock', 'Alternative Rock', 'In English', 'Pop-Rock', 'Pop']",rough doin cold decemb recal famili month girl parent love stay night god day girl hold night feel wanna terrifi stand lose prechoru hope losе stay god thеse beauti stay god beauti benson boon liveget ticket likepostchoru ooh mind feelin sane find faith everyth sit wait ya peac love night thinkin lose stay god beauti postchoru ooh outro stay god beauti gotemb
