Rank,Title,Artist
1,A Bar Song (Tipsy),Shaboozey
2,Birds Of A Feather,Billie Eilish
3,I Had Some Help,Post Malone Featuring Morgan Wallen
4,Espresso,Sabrina Carpenter
5,Die With A Smile,Lady Gaga & Bruno Mars
6,"Good Luck, Babe!",Chappell Roan
7,Taste,Sabrina Carpenter
8,Lose Control,Teddy Swims
9,Please Please Please,Sabrina Carpenter
10,Beautiful Things,Benson Boone
11,Not Like Us,Kendrick Lamar
12,Timeless,The Weeknd & Playboi Carti
13,Too Sweet,Hozier
14,Million Dollar Baby,Tommy Richman
15,Hot To Go!,Chappell Roan
16,Lies Lies Lies,Morgan Wallen
17,I Am Not Okay,Jelly Roll
18,Miles On It,Marshmello & Kane Brown
19,Ain't No Love In Oklahoma,Luke Combs
20,Cowgirls,Morgan Wallen Featuring ERNEST
21,Bed Chem,Sabrina Carpenter
22,Austin,Dasha
23,Pink Skies,Zach Bryan
24,The Door,Teddy Swims
25,Who,Jimin
26,Kehlani,Jordan Adetunji
27,Stargazing,Myles Smith
28,Wildflower,Billie Eilish
29,Pour Me A Drink,Post Malone Featuring Blake Shelton
30,You Look Like You Love Me,Ella Langley Featuring Riley Green
31,"I Love You, I'm Sorry",Gracie Abrams
32,TGIF,GloRilla
33,Sailor Song,Gigi Perez
34,I Can Do It With A Broken Heart,Taylor Swift
35,Saturn,SZA
36,It's Ok I'm Ok,Tate McRae
37,Pink Pony Club,Chappell Roan
38,Like That,"Future, Metro Boomin & Kendrick Lamar"
39,Si Antes Te Hubiera Conocido,Karol G
40,High Road,Koe Wetzel & Jessie Murph
41,Dancing In The Flames,The Weeknd
42,28,Zach Bryan
43,Wind Up Missin' You,Tucker Wetmore
44,Good Graces,Sabrina Carpenter
45,Juno,Sabrina Carpenter
46,Slow It Down,Benson Boone
47,La Patrulla,Peso Pluma & Neton Vega
48,Mamushi,Megan Thee Stallion Featuring Yuki Chiba
49,"Love You, Miss You, Mean It",Luke Bryan
50,360,Charli xcx
51,Dos Dias,Tito Double P & Peso Pluma
52,Or What?,NLE Choppa & 41
53,Help Me,Real Boston Richey
54,Diet Pepsi,Addison Rae
55,Big Dawgs,Hanumankind X Kalmi
56,Beautiful As You,Thomas Rhett
57,Whiskey Whiskey,Moneybagg Yo Featuring Morgan Wallen
58,Houdini,Eminem
59,Guess,Charli xcx Featuring Billie Eilish
60,Lonely Road,mgk & Jelly Roll
61,Guy For That,Post Malone Featuring Luke Combs
62,Nights Like This,The Kid LAROI
63,Am I Okay?,Megan Moroney
64,Lil Demon,Future
65,I'm Gonna Love You,Cody Johnson & Carrie Underwood
66,Shake Dat Ass (Twerk Song),BossMan Dlow
67,Red Wine Supernova,Chappell Roan
68,I Never Lie,Zach Top
69,Think I'm In Love With You,Chris Stapleton
70,Burning Down,Alex Warren
71,Prove It,21 Savage & Summer Walker
72,Nel,Fuerza Regida
73,The Emptiness Machine,Linkin Park
74,Too Fast,Future
75,Residuals,Chris Brown
76,Casual,Chappell Roan
77,El Lokeron,Tito Double P
78,Belong Together,Mark Ambor
79,Plutoski,Future
80,Chihiro,Billie Eilish
81,No One Noticed,The Marias
82,Teflon Don,Future
83,Apple,Charli xcx
84,Thick Of It,KSI Featuring Trippie Redd
85,Hollon,GloRilla
86,Liar,Jelly Roll
87,We Pray,"Coldplay Featuring Little Simz, Burna Boy, Elyanna & TINI"
88,Fix What You Didn't Break,Nate Smith
89,Coincidence,Sabrina Carpenter
90,Close To You,Gracie Abrams
91,Sharpest Tool,Sabrina Carpenter
92,Chevrolet,Dustin Lynch Featuring Jelly Roll
93,Worst Way,Riley Green
94,Ski,Future
95,New Drop,Don Toliver
96,This Is My Dirt,Justin Moore
97,Fall Fast In Love,Rod Wave
98,Holy Smokes,Bailey Zimmerman
99,All Red,Playboi Carti
100,Passport Junkie,Rod Wave
